Cristiano Ronaldo dos Santos Aveiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moussa Djitté can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vinni Triboulet can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pape Ndiaga Yade can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David Alejandro Henríquez Mandiola can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lucas Beltrán can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sebastián Pedroza can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rafael Tresaco Blasco can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Gragera Amado can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michael Folivi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mateo Retegui can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adrian Șut can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tom Krauß can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Allahyar Sayyadmanesh can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Meris Skenderović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Erdon Daci can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nils Fröling can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fatih Kaya can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jesús Vargas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Francisco dos Santos Júnior can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bassala Sambou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anton-Leander Donkor can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aramide Oteh can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Clément Bayiha can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cleilton Monteiro da Costa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anthony Roczen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Luis Sierra Pando can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andreas Helmersen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
George Ganea can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Paweł Tomczyk can substitute for the position ls, Left striking position, which is a(n) attacker position. 
田川 亨介 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Peter Godly Michael can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Courtney Baker-Richardson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Victor Adeboyejo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
이승모 Seung Mo Lee can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andre Bava Shinyashiki can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Murat Saglam can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mohamed Mara can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Elijah Adebayo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christoph Daferner can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aleksandar Vucenovic can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kwame Kizito can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michael Eberwein can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jamie McDonagh can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Arnel Jakupović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michael De Marchi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Filip Piszczek can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jordan Murray can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Steininger can substitute for the position ls, Left striking position, which is a(n) attacker position. 
钟晋宝 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
김보섭 金奉徐 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yohan Brun can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mikey Drennan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lucas Giuliano Passerini can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kyle Wootton can substitute for the position ls, Left striking position, which is a(n) attacker position. 
矢島 紀一 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Philipp Nsiah can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lorenzo Sorrentino can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Juan Pablo Ruiz Gomez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Edwin Maanane can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Majed Kanabah can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hasan Hüseyin Acar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
郭皓 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sami Can Keskin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cody Cooke can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ivar Sollie Rønning can substitute for the position ls, Left striking position, which is a(n) attacker position. 
김수안 金勇辰 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Scott Wilson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aaron Amadi-Holloway can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David Cortés can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michele Currarino can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Chris O'Grady can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tom Soares can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michael McGlinchey can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Giles Coke can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David Vržogić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
雷永驰 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Søren Frederiksen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rafał Siemaszko can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Felix Adjei can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ole Amund Sveen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mohammed Majrashi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
박의성 朴熙胜 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jamille Matt can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christie Elliott can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ely Ernesto Lopes Fernandes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mark O’Sullivan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gavin Reilly can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ismail Isa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Szymon Lewicki can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Endre Kupen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yanis Begraoui can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Elias Sørensen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Paul Glatzel can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aaron Hickey can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cole Bassett can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dusan Vlahovic can substitute for the position ls, Left striking position, which is a(n) attacker position. 
James Scott can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fabrice Hartmann can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gassan Ahadme can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eetu Vertainen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ryan Edmondson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kevin Cannavò can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrés Ayala can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Timothé Nkada can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Kevin Omoruyi Benjamin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrew Dallas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Paul Omo Mukairu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sebastián Lomónaco can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Erik Botheim can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Álvaro Verda can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mikkel Kaufmann can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sebastian Soto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bridge Ndilu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Idris Kanu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gabriele Gori can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mouhamed Menaour  Belkheir can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Martin Minchev can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Patrick Luan dos Santos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rúben Miguel Valente Fonseca can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vincenzo Pinto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sam Smith can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Callum Hendry can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abdullah Al Hamdan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tomás Oscar Badaloni can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Benjamin Hadžić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aldo Maiz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
George Lapslie can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Francesco Puntoriere can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marcus Mølvadgaard can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ahoueke Denkey can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yari Otto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Malik Batmaz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Damir Ceter can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jaber Asiri can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Richie Musaba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Johan Valencia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrew Jung can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ali Hassan Al Asmari can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ibrahima Koné can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abdulrahman Al Yami can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stephan Schimandl can substitute for the position ls, Left striking position, which is a(n) attacker position. 
JJ Williams can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Antón Escobar Tapiias can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Offrande Zanzala can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Matt Butcher can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrei Tîrcoveanu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Denys Balanyuk can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diego Abella can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anton Kanther can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marvin Temp can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lars-Jørgen Salvesen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Francis Atuahene can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Gurrola can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Robbe Decostere can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jacobo Escobar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Erik Engelhardt can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dong Won Lee can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Erdinç Karakaş can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ransford Selasi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aaron Collins can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Olufela Olomola can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ángel Sánchez Baró can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lucas Fierro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrea Bianchimano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yohann Magnin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gabriel Debeljuh can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marcus Barnes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leandro Contin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diego Fernández can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Waleed Hezam Al Anazi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
손석용 宋世勇 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Javier Siverio Toro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Benedict dos Santos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christy Manzinga can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Emmanuel Dieseruvwe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ronan Coughlan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diego Pineda can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rubén Sánchez Pérez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Darell Tokpa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Amando Moreno can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Colby Bishop can substitute for the position ls, Left striking position, which is a(n) attacker position. 
George Blackwood can substitute for the position ls, Left striking position, which is a(n) attacker position. 
ジャーメイン 良 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Joe Ironside can substitute for the position ls, Left striking position, which is a(n) attacker position. 
James Alabi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Paul Mullin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jeppe Friborg Simonsen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Johan Gómez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kevin Bigler can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cole Stockton can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dejan Bozic can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bojan Čečarić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
铃木 雄斗 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adi Yussuf can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jhord Bayron Garcés Moreno can substitute for the position ls, Left striking position, which is a(n) attacker position. 
王维成 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Frantz Pangop can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lucian Dumitriu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Matt Harrold can substitute for the position ls, Left striking position, which is a(n) attacker position. 
朱挺 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Peter Vincenti can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christopher Clements can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eugeniu Cebotaru can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wojciech Łuczak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tom Nichols can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jacob Blyth can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lino Waldemar Maldonado Gárnica can substitute for the position ls, Left striking position, which is a(n) attacker position. 
陈杰 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mazen Ali Abu Shararah can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Juan Cruz Franzoni can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Slavko Perović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kamal Bafounta can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Julian von Moos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gastón Verón can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jader Andrés Valencia Mena can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ruben Geeraerts can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Juan Cruz Zurbriggen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alfie McCalmont can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rayan Philippe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Emil Bohinen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
James Daly can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mauro Valiente can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aldom Deuro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Barreto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yassin Fortune can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Francis Baptiste can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cammy MacPherson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Giovanny León can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Davide Merola can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kevin Isa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eduardo Banda can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gabriel Mazuela can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Connor Hall can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ryan Loft can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jens-lys Cajuste can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrés Ariza can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Patryk Szysz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Simon Janssen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David Parkhouse can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mathew Stevens can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Raul Gavîrliță can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pelle Hoppe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolai Vallys can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Freddy Quispel can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Natanael Ntolla can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adrián Herrera González can substitute for the position ls, Left striking position, which is a(n) attacker position. 
하승운 Seung Un Ha can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Victor Ekani can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Muhammet Sait Özvardar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Angus Thurgate can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Charles Vanhoutte can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hüseyin Cakmak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Thijs Dallinga can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ryan Wintle can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Willem Tomlinson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sveinn Aron Guðjohnsen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vinícius Ferreira Dias can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Santiago Patiño can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luke Armstrong can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andre Wright can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abdulaziz Al Aryani can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Boris Mathis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alper Önal can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Olaf Nowak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lucas Calderón can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ethan Zubak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Filip Lesniak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
André Södlund can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Julian Kristoffersen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kristoffer Velde can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Brayan Rojas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cedric Euschen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dylan Dugourd can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Richard Sila can substitute for the position ls, Left striking position, which is a(n) attacker position. 
In-Pyo Oh can substitute for the position ls, Left striking position, which is a(n) attacker position. 
桂宏 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andre de Jong can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Maher Mohammed can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ayoub Ouhafsa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Saleh Al Abbas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jibril Bojang can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Brandon Goodship can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolas Baeza can substitute for the position ls, Left striking position, which is a(n) attacker position. 
刘洋 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Niki Jackson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moses Mawa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tsvetelin Chunchukov can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hallam Hope can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Elliott Whitehouse can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Carr can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Assan Ceesay can substitute for the position ls, Left striking position, which is a(n) attacker position. 
高嘉润 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Samed Ali Kaya can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ashley Nadesan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yousef Omar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
张一 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mahmoud Eid can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Even Østensen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gary Shaw can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vadaine Oliver can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bartłomiej Kalinkowski can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kenny Athiu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Paul O'Vich can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jabo Ibehre can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Chris Kelan Beardsley can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ishmael Miller can substitute for the position ls, Left striking position, which is a(n) attacker position. 
宮崎 智彦 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alexander Riemann can substitute for the position ls, Left striking position, which is a(n) attacker position. 
史亮 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
张璐 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
宋文杰 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andreas Albers Nielsen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nsima Peter can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Romeo Parkes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ștefan Blănaru can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Randhir Jayaraman can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cesar Villagra can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diego Echeverri can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gianni Azzinnari can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jomaine Consbruch can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mateusz Żukowski can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Paul-Philipp Besong can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Antoine Semenyo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mathias Jørgensen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Preslav Borukov can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Noble Okello can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Njegoš Kupusović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Robin Kehr can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Charlie Kelman can substitute for the position ls, Left striking position, which is a(n) attacker position. 
천성훈 Seong-Hoon Cheon can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Félix Tomi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Léo Leroy can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sergej Grubac can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eric Hottmann can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Giuseppe D'Anca can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mitchell Candlin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Noah Awuku can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Callum Lang can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Glen McAuley can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leutrim Kryeziu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Justin Rennicks can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lassine Sinayoko can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Murat Sevimler can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Giovanni McGregor can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Max Harrison Sanders can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Butterworth can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luca Gagliano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luc Ihorst can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tajon Buchanan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mésaque Geremias Djú can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tyler Smith can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Iván Smith can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrei Dumiter can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kevin Lidin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jhon Fredy Miranda Rada can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jordan Graham can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Panutche Amadu Pereira Camará can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mons Bassouamina can substitute for the position ls, Left striking position, which is a(n) attacker position. 
原 大智 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nelson Balongo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
John Björkengren can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alex Jakubiak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicholas D'Agostino can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Udoh can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Robbie McCourt can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jack Keaney can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sidy Keba Coly can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oliver Šarkić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
